,X,Y
0,"['If', 'you', 'have', 'asthma,', 'you', 'also', 'need', 'medication', 'against', 'X0-9.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1,"['There', 'is', 'a', 'risk', 'that', 'the', 'child', 'may', 'get', 'something', 'called', 'Reyes', 'X1-14.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-disorder', 'O']"
2,"['How', 'does', 'cox inhibitor', 'work', 'against', 'pain?']","['O', 'O', 'B-drug', 'O', 'O', 'O']"
3,"['Red', 'dog', 'is', 'an', 'infectious', 'disease', 'caused', 'by', 'viruses.']","['B-disorder', 'I-disorder', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
4,"['Later', 'in', 'X4-2,', 'it', 'becomes', 'more', 'difficult', 'to', 'carry', 'out', 'practical', 'tasks', 'such', 'as', 'paying', 'bills,', 'planning', 'grocery', 'shopping,', 'shopping,', 'cooking', 'or', 'traveling', 'on', 'your', 'own.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5,"['If', 'a', 'treatment', 'with', 'cortisone', 'does', 'not', 'help,', 'you', 'usually', 'have', 'problems', 'that', 'are', 'not', 'due', 'to', 'X5-15.']","['O', 'O', 'O', 'O', 'B-drug', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
6,"['It', 'is', 'completely', 'normal', 'to', 'forget', 'where', 'you', 'put', 'your', 'glasses,', 'but', 'not', 'normal', 'not', 'to', 'remember', 'if', 'you', 'need', 'glasses', 'or', 'not', 'to', 'find', 'your', 'way', 'in', 'familiar', 'areas.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
7,"['Some', 'medications', 'should', 'be', 'avoided', 'if', 'you', 'are', 'planning', 'to', 'become', 'pregnant', 'or', 'are', 'pregnant', 'or', 'if', 'you', 'are', 'elderly.']","['O', 'B-drug', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
8,"['In', 'many', 'places', 'there', 'is', 'a', 'special', 'day', 'activity', 'for', 'people', 'who', 'have', 'X8-11.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
9,"['The', 'day', 'business', 'is', 'usually', 'open', 'Monday', 'to', 'Friday.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
10,"['It', 'is', 'very', 'rare', 'for', 'people', 'under', '50', 'to', 'get', 'Alzheimer&#39;s', 'X10-11.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-disorder', 'O']"
11,"['If', 'you', 'are', 'unsure,', 'you', 'should', 'consult', 'a', 'doctor', 'or', 'ask', 'the', 'pharmacist.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
12,"['Early', 'symptoms', 'of', 'Alzheimer&#39;s', 'disease', 'are', 'usually', 'getting', 'problem', 'with', 'the memory', 'and', 'having', 'one', 'changed', 'X12-16.']","['O', 'O', 'O', 'B-disorder', 'I-disorder', 'O', 'O', 'O', 'B-disorder', 'I-disorder', 'I-disorder', 'O', 'O', 'B-disorder', 'I-disorder', 'O']"
13,"['You', 'yourself', 'or', 'a', 'close', 'relative', 'talk', 'to', 'doctors,', 'nurses', 'and', 'aid', 'workers', 'from', 'the', 'municipality.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
14,"['For', 'many,', 'a', 'few', 'doses', 'may', 'be', 'enough,', 'others', 'may', 'need', 'to', 'take', 'the', 'medication', 'every', 'day', 'for', 'a', 'large', 'part', 'of', 'the', 'pollen', 'season', 'to', 'be', 'problem-free.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
15,"['Cortisone', 'in', 'syringe', 'also', 'works', 'throughout', 'the body', 'but', 'is', 'used', 'less', 'and', 'less,', 'because', 'it', 'can', 'cause', 'side', 'effects.']","['B-drug', 'O', 'O', 'O', 'O', 'O', 'B-bodypart', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
16,"['The', 'joint', 'disease', 'X16-1,', 'where', 'the cartilage', 'in', 'the joint', 'is', 'destroyed,', 'is', 'very', 'common', 'in', 'the', 'elderly.']","['O', 'O', 'O', 'O', 'O', 'B-bodypart', 'I-bodypart', 'I-bodypart', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
17,"['It', 'is', 'not', 'clear', 'how', 'chromones', 'works', 'when', 'you', 'have', 'X17-10.']","['O', 'O', 'O', 'O', 'O', 'B-drug', 'O', 'O', 'O', 'O', 'O']"
18,"['Anyone', 'who', 'has', 'an', 'dementia disease', 'or', 'you', 'as', 'a', 'relative', 'applies', 'for', 'help', 'from', 'the', 'social', 'service', 'in', 'the', 'municipality.']","['O', 'O', 'O', 'O', 'B-disorder', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
19,"['If', 'you', 'use', 'these', 'X19-4,', 'you', 'should', 'not', 'use', 'over the counter', 'paracetamol', 'at', 'the', 'same', 'time', 'because', 'the', 'dose', 'may', 'then', 'be', 'too', 'high.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-drug', 'I-drug', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
20,"['Paracetamol', 'is', 'available', 'in', 'liquid', 'form', 'and', 'as', 'a', 'suppository', 'for', 'ease', 'of', 'administration', 'to', 'young', 'children.']","['B-drug', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
21,"['Living', 'alone,', 'without', 'regular', 'contact', 'with', 'others,', 'increases', 'the', 'risk', 'of', 'feel', 'psychologically', 'badly', 'and', 'being', 'affected', 'by', 'X21-21.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-disorder', 'I-disorder', 'I-disorder', 'O', 'O', 'O', 'O', 'O']"
22,"['You', 'often', 'get', 'equally', 'good', 'pain', 'relief', 'regardless', 'of', 'which', 'of', 'the medications', 'you', 'take.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-drug', 'O', 'O']"
23,"['Taking', 'an', 'pain reliever', 'before', 'it', 'starts', 'to', 'hurt', 'helps', 'more', 'than', 'taking', 'the tablets', 'only', 'when', 'the pain', 'is', 'already', 'coming.']","['O', 'O', 'B-drug', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-drug', 'O', 'O', 'B-disorder', 'O', 'O', 'O']"
