,X,Y
0,"['Om', 'du', 'har', 'astma', 'behöver', 'du', 'även', 'medicin', 'mot', 'astma']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-disorder']"
1,"['Det', 'finns', 'en', 'risk', 'att', 'barnet', 'kan', 'få', 'något', 'som', 'heter', 'Reyes', 'syndrom']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-disorder', 'I-disorder']"
2,"['Hur', 'fungerar', 'cox-hämmare', 'mot', 'smärta?']","['O', 'O', 'B-drug', 'O', 'O']"
3,"['Röd', 'hund', 'är', 'en', 'infektionssjukdom', 'som', 'orsakas', 'av', 'virus']","['B-disorder', 'I-disorder', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
4,"['Senare', 'i', 'sjukdomen', 'blir', 'det', 'svårare', 'att', 'utföra', 'praktiska', 'uppgifter', 'som', 'att', 'betala', 'räkningar', 'planera', 'matinköp', 'handla', 'matlagning', 'eller', 'resa', 'på', 'egen', 'hand']","['O', 'O', 'B-disorder', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5,"['Om', 'en', 'behandling', 'med', 'kortison', 'inte', 'hjälper', 'har', 'du', 'oftast', 'problem', 'som', 'inte', 'beror', 'på', 'allergi']","['O', 'O', 'O', 'O', 'B-drug', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-disorder']"
6,"['Det', 'är', 'helt', 'normalt', 'att', 'glömma', 'var', 'man', 'lägger', 'sina', 'glasögon', 'men', 'inte', 'normalt', 'att', 'inte', 'komma', 'ihåg', 'om', 'man', 'behöver', 'glasögon', 'eller', 'inte', 'hitta', 'rätt', 'i', 'bekanta', 'områden']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
7,"['Vissa', 'mediciner', 'bör', 'undvikas', 'om', 'du', 'planerar', 'att', 'bli', 'gravid', 'eller', 'är', 'gravid', 'eller', 'om', 'du', 'är', 'äldre']","['O', 'B-drug', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
8,"['På', 'många', 'håll', 'finns', 'en', 'speciell', 'dagaktivitet', 'för', 'personer', 'som', 'har', 'demens']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-disorder']"
9,"['Dagverksamheten', 'är', 'vanligtvis', 'öppen', 'måndag', 'till', 'fredag']","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
10,"['Det', 'är', 'mycket', 'sällsynt', 'att', 'personer', 'under', '50', 'år', 'får', 'Alzheimers', 'sjukdom']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-disorder', 'I-disorder']"
11,"['Om', 'du', 'är', 'osäker', 'bör', 'du', 'rådfråga', 'en', 'läkare', 'eller', 'fråga', 'apotekspersonalen']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
12,"['Tidiga', 'symtom', 'på', 'Alzheimers', 'sjukdom', 'är', 'vanligtvis', 'att', 'få', 'problem', 'med', 'minnet', 'och', 'ha', 'ett', 'ändrats', 'tidsuppfattning']","['O', 'O', 'O', 'B-disorder', 'I-disorder', 'O', 'O', 'O', 'O', 'B-disorder', 'I-disorder', 'I-disorder', 'O', 'O', 'B-disorder', 'I-disorder', 'I-disorder']"
13,"['Du', 'själv', 'eller', 'en', 'närstående', 'pratar', 'med', 'läkare', 'sjuksköterskor', 'och', 'biståndshandläggare', 'från', 'kommunen']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
14,"['För', 'många', 'kan', 'några', 'doser', 'räcka', 'andra', 'kan', 'behöva', 'ta', 'medicinen', 'varje', 'dag', 'under', 'en', 'stor', 'del', 'av', 'pollensäsongen', 'för', 'att', 'vara', 'problemfri']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
