,X,Y
0,"['Om', 'man', 'har', 'astmabesvär', 'behöver', 'man', 'även', 'läkemedel', 'mot', 'astma', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-disorder', 'O']"
1,"['Det', 'finns', 'en', 'risk', 'för', 'att', 'barnet', 'kan', 'få', 'något', 'som', 'kallas', 'för', 'Reyes', 'syndrom', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-disorder', 'I-disorder', 'O']"
2,"['Hur', 'fungerar', 'cox-hämmare', 'mot', 'smärta?']","['O', 'O', 'B-drug', 'O', 'O']"
3,"['Röda', 'hund', 'är', 'en', 'smittsam', 'sjukdom', 'som', 'orsakas', 'av', 'virus.']","['B-disorder', 'I-disorder', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
4,"['Senare', 'i', 'sjukdomen', 'får', 'man', 'svårare', 'att', 'utföra', 'praktiska', 'sysslor', 'som', 'att', 'betala', 'räkningar,', 'planera', 'matinköp,', 'handla,', 'laga', 'mat', 'eller', 'resa', 'på', 'egen', 'hand.']","['O', 'O', 'B-disorder', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5,"['Om', 'en', 'behandling', 'med', 'kortison', 'inte', 'hjälper', 'har', 'man', 'oftast', 'besvär', 'som', 'inte', 'beror', 'på', 'allergi', '.']","['O', 'O', 'O', 'O', 'B-drug', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-disorder', 'O']"
6,"['Det', 'är', 'helt', 'normalt', 'att', 'glömma', 'var', 'man', 'lagt', 'glasögonen,', 'men', 'inte', 'normalt', 'att', 'inte', 'minnas', 'om', 'man', 'behöver', 'glasögon', 'eller', 'att', 'inte', 'hitta', 'vägen', 'i', 'kända', 'trakter.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
7,"['Vissa', 'mediciner', 'bör', 'man', 'undvika', 'om', 'man', 'planerar', 'att', 'bli', 'eller', 'är', 'gravid', 'eller', 'om', 'man', 'är', 'äldre.']","['O', 'B-drug', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
8,"['På', 'många', 'platser', 'finns', 'en', 'särskild', 'dagverksamhet', 'för', 'personer', 'som', 'har', 'demens', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-disorder', 'O']"
9,"['Dagverksamheten', 'brukar', 'vara', 'öppen', 'måndag', 'till', 'fredag.']","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
10,"['Det', 'är', 'mycket', 'ovanligt', 'att', 'personer', 'under', '50', 'år', 'får', 'Alzheimers', 'sjukdom', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-disorder', 'I-disorder', 'O']"
11,"['Är', 'man', 'osäker', 'ska', 'man', 'rådgöra', 'med', 'läkare', 'eller', 'fråga', 'apotekspersonalen.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
12,"['Tidiga', 'symtom', 'på', 'Alzheimers', 'sjukdom', 'brukar', 'vara', 'att', 'få', 'problem', 'med', 'minnet', 'och', 'ha', 'en', 'förändrad', 'tidsuppfattning', '.']","['O', 'O', 'O', 'B-disorder', 'I-disorder', 'O', 'O', 'O', 'O', 'B-disorder', 'I-disorder', 'I-disorder', 'O', 'O', 'B-disorder', 'I-disorder', 'I-disorder', 'O']"
13,"['Du', 'själv', 'eller', 'närstående', 'pratar', 'med', 'läkare,', 'sjuksköterskor', 'och', 'biståndshandläggare', 'från', 'kommunen.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
14,"['För', 'många', 'kan', 'det', 'räcka', 'med', 'några', 'få', 'doser,', 'andra', 'kan', 'behöva', 'ta', 'medicinen', 'varje', 'dag', 'under', 'en', 'större', 'del', 'av', 'pollensäsongen', 'för', 'att', 'vara', 'utan', 'besvär.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
15,"['Kortison', 'i', 'spruta', 'verkar', 'också', 'i', 'hela', 'kroppen', 'men', 'används', 'allt', 'mindre,', 'eftersom', 'det', 'kan', 'ge', 'biverkningar.']","['B-drug', 'O', 'O', 'O', 'O', 'O', 'O', 'B-bodypart', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
16,"['Ledsjukdomen', 'artros', ',', 'där', 'brosket', 'i', 'leden', 'förstörs,', 'är', 'mycket', 'vanlig', 'hos', 'äldre.']","['O', 'B-disorder', 'O', 'O', 'B-bodypart', 'I-bodypart', 'I-bodypart', 'O', 'O', 'O', 'O', 'O', 'O']"
17,"['Det', 'är', 'inte', 'klarlagt', 'hur', 'kromoner', 'fungerar', 'när', 'man', 'har', 'pollenallergi', '.']","['O', 'O', 'O', 'O', 'O', 'B-drug', 'O', 'O', 'O', 'O', 'B-disorder', 'O']"
18,"['Den', 'som', 'har', 'en', 'demenssjukdom', 'eller', 'du', 'som', 'närstående', 'ansöker', 'om', 'hjälp', 'hos', 'socialtjänsten', 'i', 'kommunen.']","['O', 'O', 'O', 'O', 'B-disorder', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
19,"['Om', 'man', 'använder', 'dessa', 'mediciner', 'ska', 'man', 'inte', 'använda', 'receptfritt', 'paracetamol', 'samtidigt', 'eftersom', 'dosen', 'då', 'kan', 'bli', 'för', 'hög.']","['O', 'O', 'O', 'O', 'B-drug', 'O', 'O', 'O', 'O', 'B-drug', 'I-drug', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
20,"['Paracetamol', 'finns', 'i', 'flytande', 'form', 'och', 'som', 'stolpiller', 'för', 'att', 'underlätta', 'att', 'ge', 'till', 'små', 'barn.']","['B-drug', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
21,"['Att', 'leva', 'i', 'ensamhet,', 'utan', 'regelbunden', 'kontakt', 'med', 'andra,', 'ökar', 'risken', 'för', 'att', 'man', 'ska', 'må', 'psykiskt', 'dåligt', 'och', 'drabbas', 'av', 'depression', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-disorder', 'I-disorder', 'I-disorder', 'O', 'O', 'O', 'B-disorder', 'O']"
22,"['Ofta', 'får', 'man', 'lika', 'bra', 'smärtlindring', 'oavsett', 'vilken', 'av', 'medicinerna', 'man', 'tar.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-drug', 'O', 'O']"
23,"['Att', 'ta', 'en', 'värktablett', 'innan', 'det', 'börjar', 'göra', 'ont', 'hjälper', 'mer', 'än', 'att', 'ta', 'tabletterna', 'först', 'när', 'smärtan', 'redan', 'kommer.']","['O', 'O', 'O', 'B-drug', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-drug', 'O', 'O', 'B-disorder', 'O', 'O']"
24,"['Man', 'bör', 'inte', 'heller', 'använda', 'cox-hämmare', 'när', 'man', 'är', 'gravid,', 'särskilt', 'inte', 'under', 'de', 'tre', 'sista', 'månaderna', 'av', 'graviditeten,', 'eftersom', 'fostret', 'kan', 'påverkas.']","['O', 'O', 'O', 'O', 'O', 'B-drug', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
25,"['Den', 'bildar', 'ett', 'gift', 'som', 'blockerar', 'nerver', 'i', 'ryggmärgen', '}', 'och', 'gör', 'att', 'man', 'får', 'kramper', 'i', '{', 'musklerna', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-bodypart', 'I-bodypart', 'I-bodypart', 'I-bodypart', 'I-bodypart', 'I-bodypart', 'I-bodypart', 'I-bodypart', 'I-bodypart', 'I-bodypart', 'I-bodypart', 'O']"
26,"['För', 'att', 'få', 'ett', 'skydd', 'mot', 'hepatit', 'B', 'behövs', 'tre', 'doser', 'vaccin.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-disorder', 'I-disorder', 'O', 'O', 'O', 'O']"
27,"['Det', 'finns', 'flera', 'olika', 'smärtstillande', 'läkemedel', 'som', 'man', 'kan', 'köpa', 'utan', 'recept.']","['O', 'O', 'O', 'O', 'O', 'B-drug', 'O', 'O', 'O', 'O', 'O', 'O']"
28,"['Förutom', 'själva', 'bedövningen', 'kan', 'det', 'behövas', 'andra', 'åtgärder', 'för', 'att', 'lindra', 'smärta', 'i', 'mun', '}', 'och', '{', 'tänder', '.']","['O', 'O', 'B-drug', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-bodypart', 'I-bodypart', 'I-bodypart', 'I-bodypart', 'I-bodypart', 'O']"
29,"['Tabletter', 'med', 'både', 'acetylsalicylsyra', 'och', 'koffein', 'brukar', 'ha', 'god', 'effekt', 'vid', 'spänningshuvudvärk', 'och', 'migrän', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-disorder', 'O', 'B-disorder', 'O']"
30,"['Från', 'tre', 'års', 'ålder', 'kan', 'man', 'ge', 'paracetamol', 'som', 'tabletter,', 'en', 'halv', 'vuxentablett.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-drug', 'O', 'O', 'O', 'O', 'O']"
31,"['Många', 'av', 'de', 'olika', 'medicinerna', 'som', 'finns', 'att', 'köpa', 'receptfritt', 'innehåller', 'samma', 'verksamma', 'ämne.']","['O', 'O', 'O', 'O', 'B-drug', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
32,"['De', 'mediciner', 'som', 'används', 'kan', 'delas', 'in', 'i', 'följande', 'läkemedelsgrupper:']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
33,"['Om', 'man', 'tillfälligt', 'har', 'stela', 'och', 'ömma', 'leder', 'kan', 'man', 'prova', 'nabumeton', ',', 'som', 'är', 'långverkande', 'och', 'bara', 'behöver', 'tas', 'en', 'gång', 'per', 'dygn.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-bodypart', 'O', 'O', 'O', 'B-drug', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
34,"['Om', 'barnet', 'är', 'under', 'sex', 'månader', 'ska', 'man', 'prata', 'med', 'läkare', 'eller', 'sjuksköterska', 'innan', 'man', 'ger', 'någon', 'smärtlindrande', 'medicin', 'över', 'huvud', 'taget.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-drug', 'I-drug', 'O', 'O', 'O']"
35,"['Om', 'man', 'använder', 'paracetamol', 'på', 'rätt', 'sätt,', 'i', 'rätt', 'doser,', 'är', 'det', 'ovanligt', 'att', 'man', 'får', 'biverkningar', '.']","['O', 'O', 'O', 'B-drug', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-disorder', 'O']"
36,"['Många', 'äldre', 'upplever', 'att', 'minnet', 'försämras', 'med', 'åren.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
37,"['Personal', 'från', 'hemtjänsten', 'kan', 'komma', 'hem', 'och', 'avlösa', 'en', 'anhörig', 'som', 'behöver', 'avkoppling,', 'har', 'blivit', 'bortbjuden,', 'ska', 'ut', 'och', 'handla', 'eller', 'göra', 'andra', 'ärenden.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
38,"['Andra', 'vanliga', 'demenssjukdomar', 'förutom', 'Alzheimers', 'sjukdom', 'är', 'blodkärlsdemens', ',', 'Lewy', 'Body', 'demens', 'och', 'pannlobsdemens', '.']","['O', 'O', 'B-disorder', 'O', 'B-disorder', 'I-disorder', 'O', 'B-disorder', 'O', 'B-disorder', 'I-disorder', 'I-disorder', 'O', 'B-disorder', 'O']"
39,"['Forskarna', 'har', 'ännu', 'inte', 'kommit', 'fram', 'till', 'något', 'sätt', 'att', 'förebygga', 'Alzheimers', 'sjukdom', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-disorder', 'I-disorder', 'O']"
40,"['Histamin', 'kan', 'då', 'inte', 'orsaka', 'allergiska', 'besvär', 'i', 'olika', 'organ', '}', 'med', '{', 'slemhinnor', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-bodypart', 'I-bodypart', 'I-bodypart', 'I-bodypart', 'I-bodypart', 'O']"
41,"['Alla', 'smärtstillande', 'medel', 'går', 'över', 'i', 'modersmjölken,', 'men', 'det', 'finns', 'inget', 'som', 'tyder', 'på', 'att', 'de', 'skadar', 'barnet', 'när', 'man', 'ammar.']","['O', 'B-drug', 'I-drug', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
42,"['En', 'del', 'personer', 'med', 'Alzheimers', 'sjukdom', 'utvecklar', 'tillsammans', 'med', 'sina', 'närstående', 'ett', 'speciellt', 'sätt', 'att', 'leva', 'för', 'att', 'underlätta', 'vardagen', 'tillsammans.']","['O', 'O', 'O', 'O', 'B-disorder', 'I-disorder', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
43,"['Det', 'har', 'tunnare', 'nål', 'och', 'lägre', 'tryck,', 'vilket', 'gör', 'att', 'bedövningen', 'kan', 'kännas', 'mindre.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-drug', 'O', 'O', 'O']"
44,"['Därför', 'ska', 'man', 'inte', 'använda', 'läkemedel', 'ur', 'gruppen', 'cox-hämmare', 'innan', 'man', 'opereras.']","['O', 'O', 'O', 'O', 'O', 'B-drug', 'O', 'O', 'B-drug', 'O', 'O', 'O']"
45,"['Det', 'verksamma', 'ämnet', 'memantin,', 'som', 'finns', 'i', 'läkemedlet', 'Ebixa', ',', 'påverkar', 'ett', 'annat', 'system', 'som', 'har', 'skadats', 'av', 'demenssjukdomen', 'och', 'kan', 'på', 'så', 'sätt', 'minska', 'de', 'intellektuella', 'symtomen.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-drug', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-disorder', 'O', 'B-disorder', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
46,"['Ska', 'man', 'vaccinera', 'sig', 'mot', 'allergi', 'får', 'man', 'därför', 'alltid', 'gå', 'till', 'en', 'mottagning', 'där', 'det', 'finns', 'särskild', 'kunskap', 'om', 'behandlingen.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
47,"['Natriumkromoglikat', 'och', 'nedokromil', ',', 'är', 'läkemedel', 'som', 'förmodligen', 'hindrar', 'mastceller', '}', 'i', '{', 'slemhinnan', 'från', 'att', 'frigöra', 'histamin.']","['B-drug', 'O', 'B-drug', 'O', 'O', 'O', 'O', 'O', 'O', 'B-bodypart', 'I-bodypart', 'I-bodypart', 'I-bodypart', 'I-bodypart', 'O', 'O', 'O', 'O']"
48,"['Läkemedlet', 'finns', 'som', 'ögondroppar', 'och', 'nässpray', 'om', 'man', 'har', 'pollenallergi', '.']","['O', 'O', 'O', 'B-drug', 'O', 'B-drug', 'O', 'O', 'O', 'B-disorder', 'O']"
49,"['Även', 'för', 'vuxna', 'som', 'har', 'migrän', 'och', 'samtidigt', 'mår', 'illa', 'och', 'kanske', 'kräks', 'är', 'stolpiller', 'ett', 'bra', 'alternativ.']","['O', 'O', 'O', 'O', 'O', 'B-disorder', 'I-disorder', 'I-disorder', 'I-disorder', 'I-disorder', 'I-disorder', 'O', 'B-disorder', 'O', 'O', 'O', 'O', 'O']"
50,"['I', 'en', 'del', 'kommuner', 'finns', 'särskilda', 'stödteam', 'för', 'närstående', 'till', 'personer', 'som', 'har', 'en', 'demenssjukdom', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-disorder', 'O']"
