,X,Y
0,"['Memantine', 'Ebixa', 'gives', 'rarely', 'a few', 'side effects.']","['O', 'B-disorder', 'O', 'O', 'O', 'O']"
1,"['The', 'is', 'also', 'lighter', 'to', 'dose', 'liquid', 'medicine', 'than', 'to', 'share', 'on', 'tablets.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-drug', 'I-drug', 'O', 'O', 'O', 'O', 'O']"
2,"['Constipation', 'is', 'one', 'plain', 'problem', 'at', 'older.']","['B-disorder', 'O', 'O', 'O', 'O', 'O', 'O']"
3,"['The medicine', 'can', 'also', 'do', 'to', 'MAN', 'bleeding', 'lighter', 'since', 'the', 'affect', 'of the blood', 'ability', 'to', 'liver', 'one.']","['B-drug', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-bodypart', 'O', 'O', 'O', 'O']"
4,"['Children', 'have', 'major', 'possibility', 'to', 'cooperate', 'if', 'the', 'in', 'in advance', 'get', 'Know', 'What', 'as', 'will', 'happen.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5,"['Since', 'the', 'affect', 'whole', 'the body', 'more', 'than', 'others', 'medications', 'should', 'MAN', 'only', 'take', 'them', 'when', 'various', 'combinations', 'of', 'non-prescription', 'medications', 'not', 'helps.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
6,"['For', 'to', 'get', 'one', 'protection', 'against', 'hepatitis', 'B', 'is needed', 'three', 'doses', 'vaccine.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-disorder', 'I-disorder', 'O', 'O', 'O', 'O']"
7,"['The effect', 'of', 'naproxen', 'sitting', 'in', 'longer', 'and', 'lasts', 'about', '12', 'hours', 'compared', 'with', 'about', '6', 'hours', 'for', 'ibuprofen.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
8,"['Cox inhibitor', 'exists', 'also', 'as', 'gel', 'and', 'spray.']","['B-drug', 'O', 'O', 'O', 'O', 'O', 'O']"
9,"['The', 'is', 'Good', 'if', 'one', 'small', 'children', 'is', 'measured', 'and', 'exquisitely,', 'since', 'the', 'most', 'stresses', 'then', 'feels', 'less.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
10,"['You', 'can', 'then', 'get', 'move', 'to', 'someone', 'form', 'of', 'particularly', 'accommodation,', 'to', 'example', 'one', 'group housing.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
11,"['If', 'you', 'requires', 'healthcare', 'but', 'have', 'difficult', 'to', 'take', 'you', 'to', 'health care Center', 'can', 'you', 'get', 'home health care.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
12,"['Then', 'middle', 'on', 'The 1970s', 'is offered', 'BCG vaccination', 'in', 'Sweden', 'only', 'to', 'children', 'as', 'have', 'increased', 'risk', 'to', 'exposed', 'for', 'infection.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
13,"['Many', 'times', 'can', 'the', 'be', 'difficult', 'to', 'Know', 'which', 'medicine', 'as', 'fits', 'best.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-drug', 'O', 'O', 'O']"
14,"['Alzheimer&#39;s', 'disease', 'is', 'one', 'of', 'several', 'dementia diseases', '.']","['B-disorder', 'I-disorder', 'O', 'O', 'O', 'O', 'B-disorder', 'O']"
15,"['Many', 'older', 'experiences', 'to', 'the memory', 'deteriorate', 'with', 'the years.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
16,"['IN', 'many', 'municipalities', 'exists', 'dementia nurses', 'as', 'can', 'give', 'afford', 'and', 'support.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
17,"['Nowadays', 'exists', 'the', 'treatment', 'against', 'tuberculosis', ',', 'as', 'is', 'one', 'in', 'the world', 'very', 'scattered', 'infectious disease,', 'but', 'the treatment', 'can', 'be', 'difficult', 'and', 'long drawn out', 'and', 'the disease', 'can', 'still', 'be', 'serious.']","['O', 'O', 'O', 'O', 'O', 'B-disorder', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
18,"['The scientists', 'have', 'yet', 'not', 'arrived', 'forward', 'to', 'something', 'way', 'to', 'prevent', 'Alzheimer&#39;s', 'disease', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-disorder', 'I-disorder', 'O']"
19,"['MAN', 'will', 'not', 'use', 'paracetamol', 'together', 'with', 'Other', 'pain relief', 'medications', 'without', 'to', 'MAN', 'first', 'spoken', 'with', 'Doctor', 'or', 'pharmacy staff.']","['O', 'O', 'O', 'O', 'B-drug', 'O', 'O', 'O', 'B-drug', 'I-drug', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
20,"['The poison', 'can', 'damage', 'many', 'of', 'of the body', 'organ', '}', ',', 'to', 'example', '{', 'the heart', '}', 'and', '{', 'the kidneys', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-bodypart', 'I-bodypart', 'I-bodypart', 'I-bodypart', 'I-bodypart', 'I-bodypart', 'I-bodypart', 'I-bodypart', 'I-bodypart', 'I-bodypart', 'I-bodypart', 'O']"
21,"['If', 'the diagnosis', 'is', 'unclear', 'or', 'uncertain', 'can', 'you', 'need', 'undergo', 'more', 'investigations.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
22,"['The vaccination', 'is offered', 'them', 'as', 'liver', 'in', 'environments', 'where', 'the diseases', 'is', 'more', 'usual.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
23,"['How', 'works', 'cox inhibitor', 'against', 'pain?']","['O', 'O', 'B-drug', 'O', 'O']"
24,"['During', 'the', 'three', 'last', 'the months', 'will', 'the', 'not', 'be used', 'at all.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
25,"['If', 'the', 'is', 'absolutely', 'necessary', 'can', 'Doctor', 'write', 'out', 'these', 'drug', 'during', 'the', 'six', 'first', 'the months', 'of', 'the pregnancy.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-drug', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
26,"['Daytime activities', 'usually', 'be', 'open', 'Monday', 'to', 'Friday.']","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
27,"['The risk', 'for', 'side effects', 'is', 'major', 'if', 'MAN', 'is', 'cold', 'or', 'if', 'the', 'have', 'gone', 'for', 'long', 'time', 'between', 'the allergy vaccinations.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
28,"['You', 'will', 'also', 'get', 'ready', 'on', 'where', 'you', 'will', 'turn', 'you', 'if', 'you', 'becomes', 'inferior', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-disorder', 'I-disorder', 'O']"
29,"['One', 'common', 'combination', 'is', 'antihistamine tablets', 'and', 'nasal spray', 'with', 'cortisone', '.']","['O', 'O', 'O', 'O', 'B-drug', 'O', 'B-drug', 'I-drug', 'I-drug', 'O']"
30,"['Several', 'vaccines', 'commingle', 'in', 'one', 'combination syringe', 'for', 'to', 'the child', 'will', 'get', 'so', 'get', 'Stick', 'as', 'possible.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
31,"['If', 'one', 'tooth', 'will', 'taken', 'out', 'is used', 'to', 'example', 'Often', 'anesthetic', 'with', 'adrenaline', ',', 'as', 'reduces', 'the bleeding', '.']","['O', 'O', 'B-bodypart', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-drug', 'I-drug', 'I-drug', 'O', 'O', 'O', 'B-disorder', 'O']"
32,"['These', 'can', 'be used', 'on', 'the skin', 'in', 'connection', 'with', 'muscle-', 'and', 'joint injuries', 'and', 'local', 'inflammation', 'in', 'leads', '}', 'and', '{', 'muscle attachments', '.']","['O', 'O', 'O', 'O', 'B-bodypart', 'O', 'O', 'O', 'B-disorder', 'I-disorder', 'I-disorder', 'I-disorder', 'B-disorder', 'I-disorder', 'O', 'B-bodypart', 'I-bodypart', 'I-disorder', 'I-bodypart', 'I-bodypart', 'O']"
33,"['Sometimes', 'are combined', 'acetylsalicylic acid', 'with', 'caffeine,', 'as', 'pulls', 'Together', 'the blood vessels', '}', 'in', '{', 'the brain', '.']","['O', 'O', 'B-drug', 'O', 'O', 'O', 'O', 'O', 'B-bodypart', 'I-bodypart', 'I-bodypart', 'I-bodypart', 'I-bodypart', 'O']"
34,"['The', 'implies', 'to', 'you', 'can', 'reach', 'same', 'nurse', 'for', 'the', 'needs', 'as', 'occurs', 'during', 'the disease', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-disorder', 'O']"
35,"['The nursing staff', 'is', 'guilty', 'to', 'see', 'to', 'so', 'to', 'you', 'makes', 'the.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
36,"['The feces', 'can', 'Become', 'loose', 'and', 'you', 'can', 'Become', 'nausea.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
37,"['If', 'you', 'to', 'example', 'exercising', 'the memory', 'for', 'phone number', 'becomes', 'you', 'Good', 'on', 'just', 'the,', 'but', 'can', 'still', 'have', 'equal', 'difficult', 'to', 'come', 'remember', 'name', 'and', 'faces.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
38,"['MAN', 'can', 'also', 'buy', 'finished', 'saline solution', 'or', 'salt spray', 'on', 'pharmacy.']","['O', 'O', 'O', 'O', 'O', 'B-drug', 'O', 'B-drug', 'O', 'O']"
39,"['The school nurse', 'sends', 'Home', 'information', 'to', 'the parents', 'before', 'the vaccination.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
40,"['The', 'have', 'not', 'the ability', 'to', 'assess', 'when', 'anesthesia', 'is', 'necessary.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-drug', 'O', 'O']"
41,"['You', 'will', 'get', 'Know', 'who', 'you', 'will', 'contact', 'and', 'when', 'for', 'to', 'take', 'part', 'of', 'the answers', 'after', 'sampling', 'and', 'investigations.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
42,"['If', 'MAN', 'is', 'afraid', 'and', 'anxious', 'can', 'the tension', 'and', 'the worry', 'do', 'to', 'the pain', 'is experienced', 'stronger.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-disorder', 'O', 'O']"
43,"['So', 'gradually', 'can', 'MAN', 'get', 'more difficult', 'to', 'keep', 'one', 'clean,', 'to', 'shower', 'and', 'wash', 'one.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
44,"['One', 'part', 'think', 'not', 'if', 'the numb feeling', 'and', 'wants', 'therefore', 'avoid', 'the.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
