,X,Y
0,"['If', 'MAN', 'have', 'asthma', 'symptoms', 'requires', 'MAN', 'also', 'drug', 'against', 'asthma', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-disorder', 'O']"
1,"['The', 'exists', 'one', 'risk', 'for', 'to', 'the', 'child', 'may', 'get', 'something', 'as', 'is', 'called', 'for', 'Reyes', 'syndrome', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-disorder', 'I-disorder', 'O']"
2,"['How', 'works', 'cox', 'inhibitor', 'against', 'pain?']","['O', 'O', 'B-drug', 'I-drug', 'O', 'O']"
3,"['Red', 'dog', 'is', 'one', 'contagious', 'disease', 'as', 'is', 'caused', 'of', 'virus.']","['B-disorder', 'I-disorder', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
4,"['Later', 'in', 'the', 'disease', 'may', 'MAN', 'more', 'difficult', 'to', 'perform', 'practical', 'chores', 'as', 'to', 'pay', 'bills,', 'plan', 'grocery', 'shopping,', 'act,', 'prepare', 'food', 'or', 'trip', 'on', 'own', 'hand.']","['O', 'O', 'B-disorder', 'I-disorder', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5,"['If', 'one', 'treatment', 'with', 'cortisone', 'not', 'helps', 'have', 'MAN', 'most', 'often', 'trouble', 'as', 'not', 'depend', 'on', 'allergy', '.']","['O', 'O', 'O', 'O', 'B-drug', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-disorder', 'O']"
6,"['The', 'is', 'completely', 'normally', 'to', 'forget', 'where', 'MAN', 'laid', 'the', 'glasses,', 'but', 'not', 'normally', 'to', 'not', 'Remember', 'if', 'MAN', 'requires', 'glasses', 'or', 'to', 'not', 'find', 'the', 'road', 'in', 'known', 'tracts.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
7,"['Some', 'medications', 'should', 'MAN', 'avoid', 'if', 'MAN', 'plans', 'to', 'Become', 'or', 'is', 'pregnant', 'or', 'if', 'MAN', 'is', 'older.']","['O', 'B-drug', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
8,"['On', 'many', 'places', 'exists', 'one', 'special', 'daytime', 'operations', 'for', 'people', 'as', 'have', 'dementia', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-disorder', 'O']"
9,"['Daytime', 'activities', 'usually', 'be', 'open', 'Monday', 'to', 'Friday.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
10,"['The', 'is', 'very', 'unusual', 'to', 'people', 'during', '50', 'year', 'may', 'Alzheimer&#39;s', 'disease', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-disorder', 'I-disorder', 'O']"
11,"['Is', 'MAN', 'uncertain', 'will', 'MAN', 'advise', 'with', 'Doctor', 'or', 'question', 'the', 'pharmacy', 'staff.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
12,"['Early', 'ones', 'symptoms', 'on', 'Alzheimer&#39;s', 'disease', 'usually', 'be', 'to', 'get', 'problem', 'with', 'the', 'memory', 'and', 'have', 'one', 'changed', 'perception', 'of', 'time', '.']","['O', 'O', 'O', 'O', 'B-disorder', 'I-disorder', 'O', 'O', 'O', 'O', 'B-disorder', 'I-disorder', 'I-disorder', 'I-disorder', 'O', 'O', 'B-disorder', 'I-disorder', 'I-disorder', 'I-disorder', 'I-disorder', 'O']"
13,"['You', 'self', 'or', 'close', 'relatives', 'talking', 'with', 'Doctor,', 'nurses', 'and', 'aid', 'officer', 'from', 'the', 'municipality.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
14,"['For', 'many', 'may', 'the', 'hand', 'with', 'a', 'few', 'get', 'doses,', 'Other', 'may', 'need', 'take', 'the', 'medicine', 'each', 'day', 'during', 'one', 'major', 'part', 'of', 'pollen', 'season', 'for', 'to', 'be', 'without', 'trouble.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
15,"['Cortisone', 'in', 'syringe', 'seems', 'also', 'in', 'whole', 'the', 'body', 'but', 'is', 'used', 'all', 'less,', 'since', 'the', 'may', 'give', 'side', 'effects.']","['B-drug', 'O', 'O', 'O', 'O', 'O', 'O', 'B-bodypart', 'I-bodypart', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
16,"['The', 'joint', 'disease', 'arthritis', ',', 'where', 'the', 'cartilage', 'in', 'the', 'joint', 'destroyed,', 'is', 'very', 'common', 'at', 'older.']","['O', 'O', 'O', 'B-disorder', 'O', 'O', 'B-bodypart', 'I-bodypart', 'I-bodypart', 'I-bodypart', 'I-bodypart', 'O', 'O', 'O', 'O', 'O', 'O']"
17,"['The', 'is', 'not', 'clarified', 'how', 'chromones', 'works', 'when', 'MAN', 'have', 'pollen', 'allergy', '.']","['O', 'O', 'O', 'O', 'O', 'B-drug', 'O', 'O', 'O', 'O', 'B-disorder', 'I-disorder', 'O']"
18,"['The', 'as', 'have', 'one', 'dementia', 'disease', 'or', 'you', 'as', 'close', 'relatives', 'apply', 'if', 'help', 'at', 'social', 'services', 'in', 'the', 'municipality.']","['O', 'O', 'O', 'O', 'B-disorder', 'I-disorder', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
19,"['If', 'MAN', 'uses', 'these', 'medications', 'will', 'MAN', 'not', 'use', 'over', 'the', 'counter', 'paracetamol', 'at', 'the', 'same', 'time', 'since', 'the', 'dose', 'then', 'may', 'Become', 'for', 'high.']","['O', 'O', 'O', 'O', 'B-drug', 'O', 'O', 'O', 'O', 'B-drug', 'I-drug', 'I-drug', 'I-drug', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
20,"['Paracetamol', 'exists', 'in', 'liquid', 'form', 'and', 'as', 'suppositories', 'for', 'to', 'facilitate', 'to', 'give', 'to', 'small', 'children.']","['B-drug', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
21,"['To', 'live', 'in', 'loneliness,', 'without', 'regular', 'plug', 'with', 'Other,', 'increases', 'the', 'risk', 'for', 'to', 'MAN', 'will', 'feel', 'psychologically', 'badly', 'and', 'suffer', 'of', 'Depression', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-disorder', 'I-disorder', 'I-disorder', 'O', 'O', 'O', 'B-disorder', 'O']"
22,"['Often', 'may', 'MAN', 'equal', 'Good', 'pain', 'relief', 'regardless', 'which', 'of', 'the', 'medications', 'MAN', 'takes.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-drug', 'I-drug', 'O', 'O']"
23,"['To', 'take', 'one', 'pain', 'reliever', 'before', 'the', 'begins', 'do', 'evil', 'helps', 'more', 'than', 'to', 'take', 'the', 'tablets', 'first', 'when', 'the', 'pain', 'already', 'comes.']","['O', 'O', 'O', 'B-drug', 'I-drug', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-drug', 'I-drug', 'O', 'O', 'B-disorder', 'I-disorder', 'O', 'O']"
24,"['MAN', 'should', 'not', 'either', 'use', 'cox', 'inhibitor', 'when', 'MAN', 'is', 'pregnant,', 'particularly', 'not', 'during', 'the', 'three', 'last', 'the', 'months', 'of', 'pregnancy,', 'since', 'the', 'fetus', 'may', 'is', 'affected.']","['O', 'O', 'O', 'O', 'O', 'B-drug', 'I-drug', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
25,"['The', 'forms', 'one', 'married', 'as', 'blocks', 'nerves', 'in', 'the', 'spinal', 'cord', 'and', 'makes', 'to', 'MAN', 'may', 'cramps', 'in', 'the', 'muscles', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-bodypart', 'I-bodypart', 'I-bodypart', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-bodypart', 'I-bodypart', 'O']"
26,"['For', 'to', 'get', 'one', 'protection', 'against', 'hepatitis', 'B', 'is', 'needed', 'three', 'doses', 'vaccine.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-disorder', 'I-disorder', 'O', 'O', 'O', 'O', 'O']"
27,"['The', 'exists', 'several', 'various', 'pain', 'reliever', 'drug', 'as', 'MAN', 'may', 'buy', 'without', 'prescription.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-drug', 'O', 'O', 'O', 'O', 'O', 'O']"
28,"['except', 'themselves', 'the', 'anesthesia', 'may', 'the', 'needed', 'Other', 'actions', 'for', 'to', 'relieve', 'pain', 'in', 'mouth', 'and', 'teeth', '.']","['O', 'O', 'B-drug', 'I-drug', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-bodypart', 'O', 'B-bodypart', 'O']"
29,"['Tablets', 'with', 'both', 'acetylsalicylic', 'acid', 'and', 'caffeine', 'usually', 'have', 'good', 'effect', 'at', 'tension', 'headache', 'and', 'migraine', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-disorder', 'I-disorder', 'O', 'B-disorder', 'O']"
30,"['From', 'three', 'year', 'age', 'may', 'MAN', 'give', 'paracetamol', 'as', 'tablets,', 'one', 'half', 'adult', 'tablet.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-drug', 'O', 'O', 'O', 'O', 'O', 'O']"
31,"['Many', 'of', 'the', 'various', 'the', 'medications', 'as', 'exists', 'to', 'buy', 'over', 'the', 'counter', 'contains', 'same', 'active', 'subject.']","['O', 'O', 'O', 'O', 'B-drug', 'I-drug', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
32,"['The', 'medications', 'as', 'is', 'used', 'may', 'shared', 'in', 'in', 'following', 'drug', 'groups:']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
