,X,Y
0,"['Om', 'MAN', 'ha', 'astma', 'symtom', 'kräver', 'MAN', 'också', 'läkemedel', 'mot', 'astma', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-disorder', 'O']"
1,"['De', 'existerar', 'ett', 'risk', 'för', 'till', 'de', 'barn', 'Maj', 'skaffa', 'sig', 'något', 'som', 'är', 'kallad', 'för', 'Reyes', 'syndrom', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-disorder', 'I-disorder', 'O']"
2,"['På', 'vilket', 'sätt', 'Arbetar', 'cox', 'inhibitor', 'mot', 'smärta?']","['O', 'O', 'O', 'O', 'B-drug', 'I-drug', 'O', 'O']"
3,"['Röd', 'hund', 'är', 'ett', 'smittosam', 'sjukdom', 'som', 'är', 'orsakade', 'av', 'virus.']","['B-disorder', 'I-disorder', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
4,"['Senare', 'i', 'de', 'sjukdom', 'Maj', 'MAN', 'Mer', 'svår', 'till', 'prestera', 'praktisk', 'sysslor', 'som', 'till', 'betala', 'räkningar,', 'planen', 'livsmedelsbutik', 'handla,', 'spela', 'teater,', 'förbereda', 'mat', 'eller', 'resa', 'på', 'egen', 'hand.']","['O', 'O', 'B-disorder', 'I-disorder', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5,"['Om', 'ett', 'behandling', 'med', 'kortison', 'inte', 'hjälper', 'ha', 'MAN', 'mest', 'ofta', 'problem', 'som', 'inte', 'bero', 'på', 'allergi', '.']","['O', 'O', 'O', 'O', 'B-drug', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-disorder', 'O']"
6,"['De', 'är', 'fullständigt', 'i', 'vanliga', 'fall', 'till', 'glömma', 'bort', 'var', 'MAN', 'lagd', 'de', 'glasögon,', 'men', 'inte', 'i', 'vanliga', 'fall', 'till', 'inte', 'Kom', 'ihåg', 'om', 'MAN', 'kräver', 'glasögon', 'eller', 'till', 'inte', 'hitta', 'de', 'väg', 'i', 'känd', 'traktater.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
7,"['Vissa', 'mediciner', 'skall', 'MAN', 'undvika', 'om', 'MAN', 'planer', 'till', 'Bli', 'eller', 'är', 'gravid', 'eller', 'om', 'MAN', 'är', 'äldre.']","['O', 'B-drug', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
8,"['På', 'många', 'platser', 'existerar', 'ett', 'särskild', 'dagtid', 'operationer', 'för', 'människor', 'som', 'ha', 'demens', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-disorder', 'O']"
9,"['Dagtid', 'aktiviteter', 'vanligtvis', 'vara', 'öppet', 'måndag', 'till', 'Fredag.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
10,"['De', 'är', 'mycket', 'ovanlig', 'till', 'människor', 'under', '50', 'år', 'Maj', 'Alzheimers', 'sjukdom', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-disorder', 'I-disorder', 'O']"
11,"['Är', 'MAN', 'osäker', 'kommer', 'MAN', 'ge', 'råd', 'med', 'Läkare', 'eller', 'fråga', 'de', 'apotek', 'personal.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
12,"['Tidigt', 'ettor', 'symtom', 'på', 'Alzheimers', 'sjukdom', 'vanligtvis', 'vara', 'till', 'skaffa', 'sig', 'problem', 'med', 'de', 'minne', 'och', 'ha', 'ett', 'ändrats', 'uppfattning', 'av', 'tid', '.']","['O', 'O', 'O', 'O', 'B-disorder', 'I-disorder', 'O', 'O', 'O', 'O', 'O', 'B-disorder', 'I-disorder', 'I-disorder', 'I-disorder', 'O', 'O', 'B-disorder', 'I-disorder', 'I-disorder', 'I-disorder', 'I-disorder', 'O']"
13,"['Du', 'själv', 'eller', 'stänga', 'släktingar', 'talande', 'med', 'Läkare,', 'sjuksköterskor', 'och', 'hjälpa', 'officer', 'från', 'de', 'kommun.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
14,"['För', 'många', 'Maj', 'de', 'hand', 'med', 'a', 'få', 'skaffa', 'sig', 'doser,', 'Övrig', 'Maj', 'behöver', 'ta', 'de', 'medicin', 'varje', 'dag', 'under', 'ett', 'större', 'del', 'av', 'pollen', 'säsong', 'för', 'till', 'vara', 'utan', 'problem.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
15,"['Kortison', 'i', 'spruta', 'verkar', 'också', 'i', 'hela', 'de', 'kropp', 'men', 'är', 'Begagnade', 'Allt', 'mindre,', 'eftersom', 'de', 'Maj', 'ge', 'sida', 'effekter.']","['B-drug', 'O', 'O', 'O', 'O', 'O', 'O', 'B-bodypart', 'I-bodypart', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
16,"['De', 'gemensam', 'sjukdom', 'artrit', ',', 'var', 'de', 'brosk', 'i', 'de', 'gemensam', 'förstörd,', 'är', 'mycket', 'allmänning', 'på', 'äldre.']","['O', 'O', 'O', 'B-disorder', 'O', 'O', 'B-bodypart', 'I-bodypart', 'I-bodypart', 'I-bodypart', 'I-bodypart', 'O', 'O', 'O', 'O', 'O', 'O']"
17,"['De', 'är', 'inte', 'förtydligas', 'på', 'vilket', 'sätt', 'kromoner', 'Arbetar', 'när', 'MAN', 'ha', 'pollen', 'allergi', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-drug', 'O', 'O', 'O', 'O', 'B-disorder', 'I-disorder', 'O']"
18,"['De', 'som', 'ha', 'ett', 'demens', 'sjukdom', 'eller', 'du', 'som', 'stänga', 'släktingar', 'tillämpa', 'om', 'hjälp', 'på', 'social', 'tjänster', 'i', 'de', 'kommun.']","['O', 'O', 'O', 'O', 'B-disorder', 'I-disorder', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
19,"['Om', 'MAN', 'använder', 'dessa', 'mediciner', 'kommer', 'MAN', 'inte', 'använda', 'sig', 'av', 'över', 'de', 'disken', 'paracetamol', 'på', 'de', 'samma', 'tid', 'eftersom', 'de', 'dos', 'sedan', 'Maj', 'Bli', 'för', 'hög.']","['O', 'O', 'O', 'O', 'B-drug', 'O', 'O', 'O', 'O', 'O', 'O', 'B-drug', 'I-drug', 'I-drug', 'I-drug', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
20,"['Paracetamol', 'existerar', 'i', 'flytande', 'form', 'och', 'som', 'suppositorier', 'för', 'till', 'främja', 'till', 'ge', 'till', 'små', 'barn.']","['B-drug', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
21,"['Till', 'leva', 'i', 'ensamhet,', 'utan', 'regelbunden', 'plugg', 'med', 'Övrig,', 'ökar', 'de', 'risk', 'för', 'till', 'MAN', 'kommer', 'känna', 'psykologiskt', 'dåligt', 'och', 'lida', 'av', 'Depression', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-disorder', 'I-disorder', 'I-disorder', 'O', 'O', 'O', 'B-disorder', 'O']"
22,"['Ofta', 'Maj', 'MAN', 'likvärdig', 'Bra', 'smärta', 'lättnad', 'oavsett', 'som', 'av', 'de', 'mediciner', 'MAN', 'tar.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-drug', 'I-drug', 'O', 'O']"
23,"['Till', 'ta', 'ett', 'smärta', 'avlastare', 'innan', 'de', 'börjar', 'do', 'ondska', 'hjälper', 'Mer', 'än', 'till', 'ta', 'de', 'tabletter', 'först', 'när', 'de', 'smärta', 'redan', 'kommer.']","['O', 'O', 'O', 'B-drug', 'I-drug', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-drug', 'I-drug', 'O', 'O', 'B-disorder', 'I-disorder', 'O', 'O']"
